wavelength_nm,through_db,cross_db
1480.0,-3.483052878945425,-2.583994062055063
1480.35,-5.166447685299188,-1.5760130304360085
1480.7,-7.401837053757524,-0.8718995998678027
1481.05,-10.346803513934962,-0.42069659917048463
1481.4,-14.275239856536055,-0.16538780111346724
1481.75,-19.78552171961197,-0.04586945642404292
1482.1,-28.892264715333127,-0.00560839029487082
1482.45,-44.545035997250785,-0.00015250649391573712
1482.8,-31.933059665468612,-0.002783668536875795
1483.15,-31.06255028074923,-0.0034017262272840213
1483.5,-33.90770885973942,-0.001766451609996081
1483.85,-42.33557108737366,-0.0002536529310712149
1484.2,-44.32622101558901,-0.00016038739330885706
1484.55,-34.14471310710446,-0.001672617470879263
1484.9,-29.046847473235534,-0.005412153973210237
1485.25,-24.830590626095493,-0.014303430956614672
1485.6,-20.80682330177506,-0.036216924598161906
1485.95,-16.983896675485873,-0.08785775993807421
1486.3,-13.49830907650152,-0.19853745939214734
1486.65,-10.440088592193405,-0.41131932453384723
1487.0,-7.83832418799912,-0.7805387632954576
1487.35,-5.684416529383927,-1.3674913098985906
1487.7,-3.9512941661575454,-2.2373263384753725
1488.05,-2.6033495908889277,-3.4593632375905807
1488.4,-1.600060905078868,-5.111973372123043
1488.75,-0.8963216589459517,-7.293659935264802
1489.1,-0.44168814252903366,-10.145658242594616
1489.45,-0.18045970903323955,-13.903958005309816
1489.8,-0.0543707855130934,-19.05134406941648
1490.15,-0.008688593479061568,-26.992691905703307
1490.5,-2.3190855368688734e-05,-52.72468703445307
1490.85,-0.0016090073194994085,-34.313067394399425
1491.2,-0.0024848453830115975,-32.42609177270389
1491.55,-0.0014347283133523782,-34.81086376854686
1491.9,-0.0002517359846731108,-42.36851597355995
1492.25,-7.805503141084571e-05,-47.45387311216383
1492.6,-0.0010999808563303742,-35.964541822624064
1492.95,-0.0037750492654984756,-30.610504264187682
1493.3,-0.010410968991429473,-26.208136028072726
1493.65,-0.02752129443545064,-21.994907927113275
1494.0,-0.0695161566980343,-17.99169729296721
1494.35,-0.16258555302227637,-14.348062755671123
1494.7,-0.3463074050039111,-11.155228486261507
1495.05,-0.671657411597627,-8.43786643880979
1495.4,-1.1967902859842041,-6.182324683808376
1495.75,-1.9834590885111916,-4.357661315259271
1496.1,-3.096322481057861,-2.925948274827812
1496.45,-4.606162040487454,-1.8458512768851958
1496.8,-6.597897141651934,-1.0728342078870028
1497.15,-9.186302264516948,-0.5581661973568499
1497.5,-12.549022224745158,-0.24845374890925417
1497.85,-17.01037053522852,-0.08731841900244652
1498.2,-23.329959575624116,-0.020220831163956027
1498.55,-34.562569229008574,-0.0015191593962386092
1498.9,-40.85803728350474,-0.0003564498245796767
1499.25,-34.34049629383012,-0.001598875409725573
1499.6,-35.12986790670446,-0.0013331044377639413
1499.95,-40.276152188689,-0.00040755804486049935
1500.3,-60.0,-2.6485394544775007e-06
1500.65,-39.97526663592496,-0.0004367968395521439
1501.0,-33.61741863090519,-0.001888586470322212
1501.35,-28.879729425831727,-0.005624611998485853
1501.7,-24.401466944585337,-0.015791629971640114
1502.05,-20.11114845957257,-0.04253972867736822
1502.4,-16.17605262533128,-0.10604013388954601
1502.75,-12.708835426968367,-0.23922531203698708
1503.1,-9.741961703634969,-0.48721561840307004
1503.45,-7.261558164850096,-0.9037138092555774
1503.8,-5.233977490609285,-1.5467971952176254
1504.15,-3.6188281793312798,-2.476653044760278
1504.5,-2.3736544142101423,-3.7565739130157354
1504.85,-1.4544961550832145,-5.45768745821782
